source,target
AlfredBosch,jordinasb85
DANIELdoiser,jordinasb85
Iaia_Toneta,jordinasb85
eixugatitornemh,jordinasb85
HiginiaRoig,jordinasb85
Esquerra_ERC,jordinasb85
lizcastro,jordinasb85
Lespurnabloc,jordinasb85
laculturanoval,jordinasb85
omnium,jordinasb85
vpartal,jordinasb85
VilaWeb,jordinasb85
jordinasb85,jordievole
jordinasb85,KRLS
jordinasb85,antoniobanos_
jordinasb85,cupnacional
jordinasb85,RogerPala
jordinasb85,salvadostv
jordinasb85,txarango
jordinasb85,natzafarre
jordinasb85,monicaplanas
jordinasb85,diariARA
jordinasb85,30minuts
jordinasb85,eixugatitornemh
jordinasb85,QuimMonzo
jordinasb85,ariadnaoltra
jordinasb85,_anapastor_
jordinasb85,HiginiaRoig
jordinasb85,Araeslhora
jordinasb85,laculturanoval
jordinasb85,martarovira
jordinasb85,raulromeva
jordinasb85,3gerardpique
jordinasb85,elscatarres
jordinasb85,Lespurnabloc
jordinasb85,barcelona_cat
jordinasb85,gebelque
jordinasb85,assemblea
jordinasb85,TimeOutBCN
jordinasb85,enderrock
jordinasb85,BibianaBallbe
jordinasb85,joandausa
jordinasb85,MishimaBCN
jordinasb85,GrupManel
jordinasb85,lizcastro
jordinasb85,isonapassola
jordinasb85,AdaColau
jordinasb85,nuvol_com
jordinasb85,ramontremosa
jordinasb85,amicsdelesarts
jordinasb85,parlament_cat
jordinasb85,Catala_Correcte
jordinasb85,salvadorcardus
jordinasb85,mariusserra
jordinasb85,antonibassas
jordinasb85,murielcasals
jordinasb85,vpartal
jordinasb85,omnium
robertopiqueras,AdaColau
robertopiqueras,instagram
JEFFERSONCATALA,subramon1
rincewindcat,subramon1
mkserra,subramon1
JoanTarda,subramon1
25novembre2012,subramon1
PostureigCatala,subramon1
jorditoty,subramon1
MartaDui,subramon1
unilateralcat,subramon1
AlfredBosch,subramon1
ConvergenciaCAT,subramon1
jordifinestres,subramon1
joseluiscarazo,subramon1
subramon1,TianRiba
subramon1,nytimes
subramon1,MonDiari
subramon1,toniclapes
subramon1,MainatJM
subramon1,mkserra
subramon1,JuntsPelSi
subramon1,antoniobanos_
subramon1,maticatradio
subramon1,ARApolitica
subramon1,JEFFERSONCATALA
subramon1,lizcastro
subramon1,esport3
subramon1,ferrantorrentll
subramon1,gabrielrufian
subramon1,ivanrakitic
subramon1,PostureigCatala
subramon1,francescribera
subramon1,saulgordillo
subramon1,muyinteresante
subramon1,barcelona_cat
subramon1,natzafarre
subramon1,BernatDedeu
subramon1,cupnacional
subramon1,QuimMasferrer
subramon1,Iaia_Toneta
subramon1,ariadnaoltra
subramon1,Toni_Cruanyes
subramon1,RogerPala
subramon1,Mas_Enfurecido
subramon1,Cristiano
subramon1,As_TomasRoncero
subramon1,sport
subramon1,jorditoty
subramon1,perezesquerdo
subramon1,el_pais
subramon1,encampanya
subramon1,jmbartomeu
